hogar,cluster,estrategia,algoritmo,hour,0,1,2,3,4
,,dia_domingo,GMM_k3_profile,22,0.1611658653846154,0.3366802884615384,0.4545384615384615,,
,,dia_domingo,GMM_k3_profile,23,0.1326658653846154,0.225764423076923,0.5144038461538462,,
,,dia_domingo,GMM_k3_profile,total_mean_consumption,3.96149543242551,7.510278686164231,7.910846224992172,,
ABLD,0.0,dia_domingo,GMM_k4,,,,,,
AJVG,1.0,dia_domingo,GMM_k4,,,,,,
ATF,0.0,dia_domingo,GMM_k4,,,,,,
FJAG,3.0,dia_domingo,GMM_k4,,,,,,
FMB,0.0,dia_domingo,GMM_k4,,,,,,
GPC,0.0,dia_domingo,GMM_k4,,,,,,
JACL,0.0,dia_domingo,GMM_k4,,,,,,
JALG,1.0,dia_domingo,GMM_k4,,,,,,
JLG,0.0,dia_domingo,GMM_k4,,,,,,
JMM,1.0,dia_domingo,GMM_k4,,,,,,
LFZA,0.0,dia_domingo,GMM_k4,,,,,,
MANA,1.0,dia_domingo,GMM_k4,,,,,,
MBGV,1.0,dia_domingo,GMM_k4,,,,,,
MTTA,2.0,dia_domingo,GMM_k4,,,,,,
PAA,1.0,dia_domingo,GMM_k4,,,,,,
RFM,0.0,dia_domingo,GMM_k4,,,,,,
RTF,1.0,dia_domingo,GMM_k4,,,,,,
,,dia_domingo,GMM_k4_profile,0,0.1148308823529411,0.1771680672268907,0.3770980392156862,0.2395098039215686,
,,dia_domingo,GMM_k4_profile,1,0.0978125,0.1414807692307692,0.4161538461538461,0.1945576923076923,
,,dia_domingo,GMM_k4_profile,2,0.091943396226415,0.1156576819407008,0.3270943396226415,0.1848490566037736,
,,dia_domingo,GMM_k4_profile,3,0.0891586538461538,0.1066043956043956,0.2554423076923077,0.1849807692307692,
,,dia_domingo,GMM_k4_profile,4,0.0866033653846153,0.0960631868131868,0.1757115384615384,0.184576923076923,
,,dia_domingo,GMM_k4_profile,5,0.0837115384615384,0.0993543956043956,0.1327499999999999,0.1989230769230769,
,,dia_domingo,GMM_k4_profile,6,0.0956346153846153,0.1077225274725274,0.14825,0.2142884615384615,
,,dia_domingo,GMM_k4_profile,7,0.110875,0.1554285714285714,0.1773846153846154,0.2796923076923077,
,,dia_domingo,GMM_k4_profile,8,0.1432475961538461,0.2345686813186813,0.2606730769230769,0.2951192307692287,
,,dia_domingo,GMM_k4_profile,9,0.1643076923076923,0.346793956043956,0.3328846153846153,0.3265057692307662,
,,dia_domingo,GMM_k4_profile,10,0.1838846153846154,0.3937802197802197,0.3866538461538462,0.5712173076923046,
,,dia_domingo,GMM_k4_profile,11,0.1811778846153846,0.4021675824175824,0.3345384615384615,0.731526923076919,
,,dia_domingo,GMM_k4_profile,12,0.2146033653846153,0.4203736263736263,0.2565961538461538,0.8061807692307652,
,,dia_domingo,GMM_k4_profile,13,0.2445312499999999,0.5196895604395604,0.3365961538461538,0.7110653846153805,
,,dia_domingo,GMM_k4_profile,14,0.24603125,0.4099835164835165,0.4145961538461539,0.6424673076923046,
,,dia_domingo,GMM_k4_profile,15,0.2019543269230769,0.3245851648351648,0.4218076923076923,0.688349999999998,
,,dia_domingo,GMM_k4_profile,16,0.1906490384615384,0.3170521978021978,0.2337499999999999,0.6395615384615365,
,,dia_domingo,GMM_k4_profile,17,0.1954278846153846,0.3271840659340659,0.3099423076923077,0.6915,
,,dia_domingo,GMM_k4_profile,18,0.2187572115384615,0.357554945054945,0.3638653846153846,0.8298653846153846,
,,dia_domingo,GMM_k4_profile,19,0.2463028846153846,0.4391126373626374,0.3531346153846154,0.7844230769230769,
,,dia_domingo,GMM_k4_profile,20,0.2538822115384615,0.5021126373626373,0.3666730769230769,0.5773269230769231,
,,dia_domingo,GMM_k4_profile,21,0.2123365384615384,0.447228021978022,0.5603076923076923,0.5145192307692308,
,,dia_domingo,GMM_k4_profile,22,0.1611658653846154,0.3269313186813187,0.4545384615384615,0.4049230769230769,
,,dia_domingo,GMM_k4_profile,23,0.1326658653846154,0.2135494505494505,0.5144038461538462,0.3112692307692307,
,,dia_domingo,GMM_k4_profile,total_mean_consumption,3.96149543242551,6.982147177739021,7.910846224992172,11.207199245140696,
ABLD,0.0,dia_domingo,GMM_k5,,,,,,
AJVG,1.0,dia_domingo,GMM_k5,,,,,,
ATF,0.0,dia_domingo,GMM_k5,,,,,,
FJAG,4.0,dia_domingo,GMM_k5,,,,,,
FMB,0.0,dia_domingo,GMM_k5,,,,,,
GPC,0.0,dia_domingo,GMM_k5,,,,,,
JACL,0.0,dia_domingo,GMM_k5,,,,,,
JALG,1.0,dia_domingo,GMM_k5,,,,,,
JLG,0.0,dia_domingo,GMM_k5,,,,,,
JMM,1.0,dia_domingo,GMM_k5,,,,,,
LFZA,0.0,dia_domingo,GMM_k5,,,,,,
MANA,1.0,dia_domingo,GMM_k5,,,,,,
MBGV,1.0,dia_domingo,GMM_k5,,,,,,
MTTA,2.0,dia_domingo,GMM_k5,,,,,,
PAA,3.0,dia_domingo,GMM_k5,,,,,,
RFM,0.0,dia_domingo,GMM_k5,,,,,,
RTF,1.0,dia_domingo,GMM_k5,,,,,,
,,dia_domingo,GMM_k5_profile,0,0.1148308823529411,0.1772614379084967,0.3770980392156862,0.1766078431372549,0.2395098039215686
,,dia_domingo,GMM_k5_profile,1,0.0978125,0.1421474358974359,0.4161538461538461,0.1374807692307692,0.1945576923076923
,,dia_domingo,GMM_k5_profile,2,0.091943396226415,0.1182264150943396,0.3270943396226415,0.1002452830188679,0.1848490566037736
,,dia_domingo,GMM_k5_profile,3,0.0891586538461538,0.1114647435897436,0.2554423076923077,0.0774423076923077,0.1849807692307692
,,dia_domingo,GMM_k5_profile,4,0.0866033653846153,0.1000384615384615,0.1757115384615384,0.0722115384615384,0.184576923076923
,,dia_domingo,GMM_k5_profile,5,0.0837115384615384,0.1042660256410256,0.1327499999999999,0.0698846153846153,0.1989230769230769
